word,pos,tag,desc
curling,VERB,VBG,"verb, present participle or gerund"
wholesaler,NOUN,NN,"noun, common, singular or mass"
smoky,ADJ,JJ,"adjective or numeral, ordinal"
opus,NOUN,NN,"noun, common, singular or mass"
aromatic,ADJ,JJ,"adjective or numeral, ordinal"
flirt,NOUN,NN,"noun, common, singular or mass"
slang,NOUN,NN,"noun, common, singular or mass"
emporium,NOUN,NN,"noun, common, singular or mass"
princes,NOUN,NNS,"noun, common, plural"
restricting,VERB,VBG,"verb, present participle or gerund"
partnering,NOUN,NN,"noun, common, singular or mass"
promoters,NOUN,NNS,"noun, common, plural"
soothing,VERB,VBG,"verb, present participle or gerund"
freshmen,NOUN,NNS,"noun, common, plural"
departed,VERB,VBD,"verb, past tense"
israelis,NOUN,NNS,"noun, common, plural"
finch,NOUN,NN,"noun, common, singular or mass"
inherently,ADV,RB,adverb
forefront,NOUN,NN,"noun, common, singular or mass"
headlights,NOUN,NNS,"noun, common, plural"
monophonic,ADJ,JJ,"adjective or numeral, ordinal"
largo,VERB,VB,"verb, base form"
amazingly,ADV,RB,adverb
plural,ADJ,JJ,"adjective or numeral, ordinal"
swapping,VERB,VBG,"verb, present participle or gerund"
skipped,VERB,VBD,"verb, past tense"
hereinafter,NOUN,NN,"noun, common, singular or mass"
extracting,VERB,VBG,"verb, present participle or gerund"
analogous,ADJ,JJ,"adjective or numeral, ordinal"
hebrews,VERB,VBZ,"verb, present tense, 3rd person singular"
particulate,NOUN,NN,"noun, common, singular or mass"
tally,NOUN,NN,"noun, common, singular or mass"
unpleasant,ADJ,JJ,"adjective or numeral, ordinal"
tempted,VERB,VBN,"verb, past participle"
blindness,NOUN,NN,"noun, common, singular or mass"
creep,NOUN,NN,"noun, common, singular or mass"
staining,VERB,VBG,"verb, present participle or gerund"
shaded,VERB,VBN,"verb, past participle"
cot,NOUN,NN,"noun, common, singular or mass"
plaster,NOUN,NN,"noun, common, singular or mass"
negotiable,ADJ,JJ,"adjective or numeral, ordinal"
quarterback,NOUN,NN,"noun, common, singular or mass"
obstruction,NOUN,NN,"noun, common, singular or mass"
agility,NOUN,NN,"noun, common, singular or mass"
complying,VERB,VBG,"verb, present participle or gerund"
overture,NOUN,NN,"noun, common, singular or mass"
newcomers,NOUN,NNS,"noun, common, plural"
hectares,NOUN,NNS,"noun, common, plural"
scrabble,ADJ,JJ,"adjective or numeral, ordinal"
noteworthy,ADJ,JJ,"adjective or numeral, ordinal"
agile,ADJ,JJ,"adjective or numeral, ordinal"
sacks,NOUN,NNS,"noun, common, plural"
kiosk,NOUN,NN,"noun, common, singular or mass"
ionic,ADJ,JJ,"adjective or numeral, ordinal"
stray,VERB,VB,"verb, base form"
runaway,ADV,RB,adverb
slowing,VERB,VBG,"verb, present participle or gerund"
clinically,ADV,RB,adverb
watchers,NOUN,NNS,"noun, common, plural"
supplemented,VERB,VBN,"verb, past participle"
poppy,ADJ,JJ,"adjective or numeral, ordinal"
obligated,VERB,VBD,"verb, past tense"
frenzy,NOUN,NN,"noun, common, singular or mass"
decoding,VERB,VBG,"verb, present participle or gerund"
jargon,X,FW,foreign word
kangaroo,NOUN,NN,"noun, common, singular or mass"
sleeper,ADJ,JJ,"adjective or numeral, ordinal"
elemental,ADJ,JJ,"adjective or numeral, ordinal"
presenters,NOUN,NNS,"noun, common, plural"
teal,NOUN,NN,"noun, common, singular or mass"
unnamed,ADJ,JJ,"adjective or numeral, ordinal"
particulars,NOUN,NNS,"noun, common, plural"
jerking,VERB,VBG,"verb, present participle or gerund"
bungalow,VERB,VB,"verb, base form"
bazaar,VERB,VB,"verb, base form"
interconnect,VERB,VB,"verb, base form"
predicate,NOUN,NN,"noun, common, singular or mass"
recurrence,NOUN,NN,"noun, common, singular or mass"
mindless,ADJ,JJ,"adjective or numeral, ordinal"
purifier,NOUN,NN,"noun, common, singular or mass"
recruits,NOUN,NNS,"noun, common, plural"
sharper,ADJ,JJR,"adjective, comparative"
tablespoons,NOUN,NNS,"noun, common, plural"
greedy,ADJ,JJ,"adjective or numeral, ordinal"
supervise,VERB,VB,"verb, base form"
termed,VERB,VBN,"verb, past participle"
stamping,VERB,VBG,"verb, present participle or gerund"
coolest,ADJ,JJS,"adjective, superlative"
downing,VERB,VBG,"verb, present participle or gerund"
basque,ADJ,JJ,"adjective or numeral, ordinal"
societal,ADJ,JJ,"adjective or numeral, ordinal"
ire,VERB,VB,"verb, base form"
halogen,NOUN,NN,"noun, common, singular or mass"
pegasus,NOUN,NN,"noun, common, singular or mass"
silhouette,NOUN,NN,"noun, common, singular or mass"
tuesdays,NOUN,NNS,"noun, common, plural"
dorado,NOUN,NN,"noun, common, singular or mass"
daring,VERB,VBG,"verb, present participle or gerund"
realms,NOUN,NNS,"noun, common, plural"
maestro,X,FW,foreign word
turin,NOUN,NN,"noun, common, singular or mass"
forte,NOUN,NN,"noun, common, singular or mass"
coaxial,ADJ,JJ,"adjective or numeral, ordinal"
tipping,VERB,VBG,"verb, present participle or gerund"
holster,ADJ,JJR,"adjective, comparative"
fiddle,VERB,VB,"verb, base form"
crunch,NOUN,NN,"noun, common, singular or mass"
leipzig,NOUN,NN,"noun, common, singular or mass"
bard,ADJ,JJ,"adjective or numeral, ordinal"
reap,VERB,VB,"verb, base form"
hanoi,NOUN,NN,"noun, common, singular or mass"
faucets,NOUN,NNS,"noun, common, plural"
ballistic,ADJ,JJ,"adjective or numeral, ordinal"
exemplary,ADJ,JJ,"adjective or numeral, ordinal"
apostle,NOUN,NN,"noun, common, singular or mass"
playful,ADJ,JJ,"adjective or numeral, ordinal"
supermarkets,NOUN,NNS,"noun, common, plural"
multiplied,VERB,VBN,"verb, past participle"
enchanted,VERB,VBD,"verb, past tense"
belgrade,VERB,VB,"verb, base form"
styled,VERB,VBN,"verb, past participle"
commanders,NOUN,NNS,"noun, common, plural"
thor,NOUN,NN,"noun, common, singular or mass"
waive,VERB,VB,"verb, base form"
contraception,NOUN,NN,"noun, common, singular or mass"
soprano,NOUN,NN,"noun, common, singular or mass"
polishing,VERB,VBG,"verb, present participle or gerund"
marquis,NOUN,NN,"noun, common, singular or mass"
translating,VERB,VBG,"verb, present participle or gerund"
frontiers,NOUN,NNS,"noun, common, plural"
logger,VERB,VB,"verb, base form"
adjoining,VERB,VBG,"verb, present participle or gerund"
greet,VERB,VB,"verb, base form"
acclaim,NOUN,NN,"noun, common, singular or mass"
hardship,NOUN,NN,"noun, common, singular or mass"
detainees,NOUN,NNS,"noun, common, plural"
lymph,NOUN,NN,"noun, common, singular or mass"
pollutant,ADJ,JJ,"adjective or numeral, ordinal"
cavaliers,NOUN,NNS,"noun, common, plural"
rollers,NOUN,NNS,"noun, common, plural"
pumped,VERB,VBN,"verb, past participle"
differentiated,VERB,VBN,"verb, past participle"
verifying,VERB,VBG,"verb, present participle or gerund"
almighty,ADJ,JJ,"adjective or numeral, ordinal"
weekday,NOUN,NN,"noun, common, singular or mass"
homecoming,VERB,VBG,"verb, present participle or gerund"
increments,NOUN,NNS,"noun, common, plural"
intuition,NOUN,NN,"noun, common, singular or mass"
revoked,VERB,VBN,"verb, past participle"
openness,NOUN,NN,"noun, common, singular or mass"
chromium,NOUN,NN,"noun, common, singular or mass"
circulating,VERB,VBG,"verb, present participle or gerund"
latch,NOUN,NN,"noun, common, singular or mass"
verbs,VERB,VBZ,"verb, present tense, 3rd person singular"
drank,VERB,VBD,"verb, past tense"
confrontation,NOUN,NN,"noun, common, singular or mass"
grower,NOUN,NN,"noun, common, singular or mass"
slippery,ADJ,JJ,"adjective or numeral, ordinal"
unpredictable,ADJ,JJ,"adjective or numeral, ordinal"
capacitor,NOUN,NN,"noun, common, singular or mass"
outpost,NOUN,NN,"noun, common, singular or mass"
litres,NOUN,NNS,"noun, common, plural"
moroccan,ADJ,JJ,"adjective or numeral, ordinal"
chatter,NOUN,NN,"noun, common, singular or mass"
lettuce,VERB,VB,"verb, base form"
raging,VERB,VBG,"verb, present participle or gerund"
tidy,ADJ,JJ,"adjective or numeral, ordinal"
subgroup,NOUN,NN,"noun, common, singular or mass"
oppression,NOUN,NN,"noun, common, singular or mass"
vets,NOUN,NNS,"noun, common, plural"
bows,VERB,VBZ,"verb, present tense, 3rd person singular"
yielding,VERB,VBG,"verb, present participle or gerund"
assays,ADV,RB,adverb
torso,NOUN,NN,"noun, common, singular or mass"
occult,NOUN,NN,"noun, common, singular or mass"
expeditions,NOUN,NNS,"noun, common, plural"
hooker,NOUN,NN,"noun, common, singular or mass"
beau,NOUN,NN,"noun, common, singular or mass"
backdrop,NOUN,NN,"noun, common, singular or mass"
subordinate,ADJ,JJ,"adjective or numeral, ordinal"
lilies,NOUN,NNS,"noun, common, plural"
aerobic,ADJ,JJ,"adjective or numeral, ordinal"
articulate,VERB,VB,"verb, base form"
ecstasy,NOUN,NN,"noun, common, singular or mass"
sweetheart,NOUN,NN,"noun, common, singular or mass"
fulfil,NOUN,NN,"noun, common, singular or mass"
calcutta,VERB,VB,"verb, base form"
mediator,NOUN,NN,"noun, common, singular or mass"
cultivated,VERB,VBN,"verb, past participle"
rang,VERB,VBD,"verb, past tense"
disconnected,VERB,VBN,"verb, past participle"
consulate,NOUN,NN,"noun, common, singular or mass"
businessman,NOUN,NN,"noun, common, singular or mass"
commuter,NOUN,NN,"noun, common, singular or mass"
disagreement,NOUN,NN,"noun, common, singular or mass"
strands,NOUN,NNS,"noun, common, plural"
sicily,ADV,RB,adverb
compost,NOUN,NN,"noun, common, singular or mass"
adjourned,VERB,VBN,"verb, past participle"
familiarity,NOUN,NN,"noun, common, singular or mass"
initiating,VERB,VBG,"verb, present participle or gerund"
erroneous,ADJ,JJ,"adjective or numeral, ordinal"
grabs,NOUN,NNS,"noun, common, plural"
pulses,NOUN,NNS,"noun, common, plural"
stuffing,VERB,VBG,"verb, present participle or gerund"
casserole,NOUN,NN,"noun, common, singular or mass"
canoeing,VERB,VBG,"verb, present participle or gerund"
ophthalmology,NOUN,NN,"noun, common, singular or mass"
flooded,VERB,VBN,"verb, past participle"
clubhouse,NOUN,NN,"noun, common, singular or mass"
reverted,VERB,VBD,"verb, past tense"
crackers,NOUN,NNS,"noun, common, plural"
greyhound,VERB,VB,"verb, base form"
ironic,ADJ,JJ,"adjective or numeral, ordinal"
licensees,NOUN,NNS,"noun, common, plural"
wards,NOUN,NNS,"noun, common, plural"
unsupported,ADJ,JJ,"adjective or numeral, ordinal"
evaluates,VERB,VBZ,"verb, present tense, 3rd person singular"
hinge,VERB,VB,"verb, base form"
cockpit,NOUN,NN,"noun, common, singular or mass"
protesters,NOUN,NNS,"noun, common, plural"
venetian,NOUN,NN,"noun, common, singular or mass"
sew,VERB,VB,"verb, base form"
carrots,NOUN,NNS,"noun, common, plural"
laps,VERB,VBZ,"verb, present tense, 3rd person singular"
memorials,NOUN,NNS,"noun, common, plural"
resumed,VERB,VBD,"verb, past tense"
conversely,ADV,RB,adverb
stunt,VERB,VB,"verb, base form"
excuses,NOUN,NNS,"noun, common, plural"
commute,NOUN,NN,"noun, common, singular or mass"
staged,VERB,VBD,"verb, past tense"
hustle,ADJ,JJ,"adjective or numeral, ordinal"
stimuli,NOUN,NNS,"noun, common, plural"
subroutine,NOUN,NN,"noun, common, singular or mass"
upwards,ADV,RB,adverb
witty,ADJ,JJ,"adjective or numeral, ordinal"
transcend,VERB,VB,"verb, base form"
loosely,ADV,RB,adverb
anchors,NOUN,NNS,"noun, common, plural"
hertz,ADJ,JJ,"adjective or numeral, ordinal"
atheist,NOUN,NN,"noun, common, singular or mass"
capped,VERB,VBN,"verb, past participle"
firefighter,NOUN,NN,"noun, common, singular or mass"
liking,VERB,VBG,"verb, present participle or gerund"
preacher,ADV,RB,adverb
propulsion,NOUN,NN,"noun, common, singular or mass"
complied,VERB,VBD,"verb, past tense"
intangible,ADJ,JJ,"adjective or numeral, ordinal"
compassionate,ADJ,JJ,"adjective or numeral, ordinal"
catastrophic,ADJ,JJ,"adjective or numeral, ordinal"
blower,NOUN,NN,"noun, common, singular or mass"
substitutes,NOUN,NNS,"noun, common, plural"
flown,VERB,VBN,"verb, past participle"
dubbed,VERB,VBN,"verb, past participle"
silky,NOUN,NN,"noun, common, singular or mass"
groovy,ADJ,JJ,"adjective or numeral, ordinal"
vows,VERB,VBZ,"verb, present tense, 3rd person singular"
reusable,ADJ,JJ,"adjective or numeral, ordinal"
actuarial,ADJ,JJ,"adjective or numeral, ordinal"
distorted,VERB,VBN,"verb, past participle"
attracts,VERB,VBZ,"verb, present tense, 3rd person singular"
bern,ADJ,JJ,"adjective or numeral, ordinal"
qualifies,NOUN,NNS,"noun, common, plural"
grizzly,NOUN,NN,"noun, common, singular or mass"
helpline,NOUN,NN,"noun, common, singular or mass"
erectile,ADJ,JJ,"adjective or numeral, ordinal"
timeliness,NOUN,NN,"noun, common, singular or mass"
obstetrics,NOUN,NNS,"noun, common, plural"
chaired,VERB,VBD,"verb, past tense"
repay,NOUN,NN,"noun, common, singular or mass"
hurting,VERB,VBG,"verb, present participle or gerund"
homicide,NOUN,NN,"noun, common, singular or mass"
prognosis,NOUN,NN,"noun, common, singular or mass"
pandemic,ADJ,JJ,"adjective or numeral, ordinal"
await,VERB,VB,"verb, base form"
fob,VERB,VBD,"verb, past tense"
sparse,NOUN,NN,"noun, common, singular or mass"
corridors,NOUN,NNS,"noun, common, plural"
fossils,NOUN,NNS,"noun, common, plural"
victories,NOUN,NNS,"noun, common, plural"
chemically,ADV,RB,adverb
fetus,NOUN,NN,"noun, common, singular or mass"
determinants,NOUN,NNS,"noun, common, plural"
compliments,NOUN,NNS,"noun, common, plural"
cider,VERB,VB,"verb, base form"
crooked,ADJ,JJ,"adjective or numeral, ordinal"
gangs,NOUN,NNS,"noun, common, plural"
segregation,NOUN,NN,"noun, common, singular or mass"
superannuation,NOUN,NN,"noun, common, singular or mass"
ifs,VERB,VB,"verb, base form"
overcast,ADJ,JJ,"adjective or numeral, ordinal"
inverted,VERB,VBN,"verb, past participle"
achieves,VERB,VBZ,"verb, present tense, 3rd person singular"
documentaries,NOUN,NNS,"noun, common, plural"
remake,NOUN,NN,"noun, common, singular or mass"
braille,VERB,VB,"verb, base form"
forehead,NOUN,NN,"noun, common, singular or mass"
scratches,VERB,VBZ,"verb, present tense, 3rd person singular"
lilac,NOUN,NN,"noun, common, singular or mass"
sinus,NOUN,NN,"noun, common, singular or mass"
maverick,NOUN,NN,"noun, common, singular or mass"
intellect,NOUN,NN,"noun, common, singular or mass"
charmed,VERB,VBD,"verb, past tense"
hears,VERB,VBZ,"verb, present tense, 3rd person singular"
nationalism,NOUN,NN,"noun, common, singular or mass"
pervasive,ADJ,JJ,"adjective or numeral, ordinal"
anabolic,NOUN,NN,"noun, common, singular or mass"
clears,VERB,VBZ,"verb, present tense, 3rd person singular"
videotape,NOUN,NN,"noun, common, singular or mass"
knowingly,ADV,RB,adverb
pivot,NOUN,NN,"noun, common, singular or mass"
amplification,NOUN,NN,"noun, common, singular or mass"
snippets,NOUN,NNS,"noun, common, plural"
undergraduates,VERB,VBZ,"verb, present tense, 3rd person singular"
digestion,NOUN,NN,"noun, common, singular or mass"
mixtures,NOUN,NNS,"noun, common, plural"
composites,NOUN,NNS,"noun, common, plural"
soaring,VERB,VBG,"verb, present participle or gerund"
dragging,VERB,VBG,"verb, present participle or gerund"
virtues,NOUN,NNS,"noun, common, plural"
banning,VERB,VBG,"verb, present participle or gerund"
flushing,VERB,VBG,"verb, present participle or gerund"
deprivation,NOUN,NN,"noun, common, singular or mass"
delights,VERB,VBZ,"verb, present tense, 3rd person singular"
foreword,NOUN,NN,"noun, common, singular or mass"
glide,NOUN,NN,"noun, common, singular or mass"
transverse,VERB,VB,"verb, base form"
pathogens,VERB,VBZ,"verb, present tense, 3rd person singular"
engagements,NOUN,NNS,"noun, common, plural"
withstand,NOUN,NN,"noun, common, singular or mass"
blooms,NOUN,NNS,"noun, common, plural"
soar,VERB,VB,"verb, base form"
jacking,VERB,VBG,"verb, present participle or gerund"
uniformly,ADV,RB,adverb
ooh,INTJ,UH,interjection
subsections,NOUN,NNS,"noun, common, plural"
empowered,VERB,VBN,"verb, past participle"
outlying,ADJ,JJ,"adjective or numeral, ordinal"
slogan,NOUN,NN,"noun, common, singular or mass"
subdivisions,NOUN,NNS,"noun, common, plural"
handouts,VERB,VBZ,"verb, present tense, 3rd person singular"
deducted,VERB,VBD,"verb, past tense"
elijah,NOUN,NN,"noun, common, singular or mass"
bop,NOUN,NN,"noun, common, singular or mass"
stretches,NOUN,NNS,"noun, common, plural"
vigorous,ADJ,JJ,"adjective or numeral, ordinal"
flee,NOUN,NN,"noun, common, singular or mass"
biscuit,VERB,VB,"verb, base form"
creme,NOUN,NN,"noun, common, singular or mass"
submits,VERB,VBZ,"verb, present tense, 3rd person singular"
woes,NOUN,NNS,"noun, common, plural"
waltz,NOUN,NN,"noun, common, singular or mass"
menace,NOUN,NN,"noun, common, singular or mass"
emerges,VERB,VBZ,"verb, present tense, 3rd person singular"
classify,VERB,VB,"verb, base form"
downstairs,ADV,RB,adverb
statesman,NOUN,NN,"noun, common, singular or mass"
cheerful,ADJ,JJ,"adjective or numeral, ordinal"
blush,NOUN,NN,"noun, common, singular or mass"
leaflet,INTJ,UH,interjection
spherical,ADJ,JJ,"adjective or numeral, ordinal"
intracellular,ADJ,JJ,"adjective or numeral, ordinal"
favourable,ADJ,JJ,"adjective or numeral, ordinal"
informs,NOUN,NNS,"noun, common, plural"
dramas,NOUN,NNS,"noun, common, plural"
geisha,NOUN,NN,"noun, common, singular or mass"
billiard,ADJ,JJ,"adjective or numeral, ordinal"
briefcase,NOUN,NN,"noun, common, singular or mass"
malay,NOUN,NN,"noun, common, singular or mass"
unseen,ADJ,JJ,"adjective or numeral, ordinal"
optimism,NOUN,NN,"noun, common, singular or mass"
silica,NOUN,NN,"noun, common, singular or mass"
modal,NOUN,NN,"noun, common, singular or mass"
unusually,ADV,RB,adverb
addendum,ADV,RB,adverb
widest,ADJ,JJS,"adjective, superlative"
impotence,NOUN,NN,"noun, common, singular or mass"
medley,NOUN,NN,"noun, common, singular or mass"
cadet,NOUN,NN,"noun, common, singular or mass"
temper,NOUN,NN,"noun, common, singular or mass"
yorker,NOUN,NN,"noun, common, singular or mass"
intravenous,ADJ,JJ,"adjective or numeral, ordinal"
asserts,VERB,VBZ,"verb, present tense, 3rd person singular"
stew,NOUN,NN,"noun, common, singular or mass"
hereafter,ADV,RB,adverb
retiring,VERB,VBG,"verb, present participle or gerund"
smashing,VERB,VBG,"verb, present participle or gerund"
accumulate,VERB,VB,"verb, base form"
tahiti,NOUN,NN,"noun, common, singular or mass"
mariner,ADJ,JJR,"adjective, comparative"
collier,ADJ,JJR,"adjective, comparative"
hush,ADJ,JJ,"adjective or numeral, ordinal"
fragmentation,NOUN,NN,"noun, common, singular or mass"
behavioural,ADJ,JJ,"adjective or numeral, ordinal"
kiev,NOUN,NN,"noun, common, singular or mass"
paranormal,NOUN,NN,"noun, common, singular or mass"
whispered,VERB,VBD,"verb, past tense"
generosity,NOUN,NN,"noun, common, singular or mass"
vibrating,VERB,VBG,"verb, present participle or gerund"
glossaries,NOUN,NNS,"noun, common, plural"
lama,X,FW,foreign word
artisan,ADV,RB,adverb
akin,ADJ,JJ,"adjective or numeral, ordinal"
embarrassing,ADJ,JJ,"adjective or numeral, ordinal"
carbohydrates,VERB,VBZ,"verb, present tense, 3rd person singular"
aqueous,ADJ,JJ,"adjective or numeral, ordinal"
stockholders,NOUN,NNS,"noun, common, plural"
splinter,NOUN,NN,"noun, common, singular or mass"
preferable,ADJ,JJ,"adjective or numeral, ordinal"
juices,NOUN,NNS,"noun, common, plural"
ironically,ADV,RB,adverb
morale,NOUN,NN,"noun, common, singular or mass"
morales,NOUN,NNS,"noun, common, plural"
solder,VERB,VB,"verb, base form"
trench,NOUN,NN,"noun, common, singular or mass"
persuasion,NOUN,NN,"noun, common, singular or mass"
stripper,ADJ,JJ,"adjective or numeral, ordinal"
practise,VERB,VB,"verb, base form"
adrenaline,NOUN,NN,"noun, common, singular or mass"
mammalian,NOUN,NN,"noun, common, singular or mass"
opted,VERB,VBD,"verb, past tense"
lodged,VERB,VBN,"verb, past participle"
revolt,NOUN,NN,"noun, common, singular or mass"
meteorology,NOUN,NN,"noun, common, singular or mass"
renders,VERB,VBZ,"verb, present tense, 3rd person singular"
pioneering,VERB,VBG,"verb, present participle or gerund"
pristine,ADJ,JJ,"adjective or numeral, ordinal"
shines,VERB,VBZ,"verb, present tense, 3rd person singular"
spreadsheets,NOUN,NNS,"noun, common, plural"
regain,VERB,VB,"verb, base form"
resize,VERB,VB,"verb, base form"
auditory,NOUN,NN,"noun, common, singular or mass"
applause,NOUN,NN,"noun, common, singular or mass"
medically,ADV,RB,adverb
tweak,ADJ,JJ,"adjective or numeral, ordinal"
trait,NOUN,NN,"noun, common, singular or mass"
popped,VERB,VBD,"verb, past tense"
busted,VERB,VBD,"verb, past tense"
basins,NOUN,NNS,"noun, common, plural"
farmhouse,NOUN,NN,"noun, common, singular or mass"
pounding,VERB,VBG,"verb, present participle or gerund"
picturesque,ADJ,JJ,"adjective or numeral, ordinal"
ottoman,NOUN,NN,"noun, common, singular or mass"
graders,NOUN,NNS,"noun, common, plural"
eater,NOUN,NN,"noun, common, singular or mass"
tuners,NOUN,NNS,"noun, common, plural"
utopia,NOUN,NN,"noun, common, singular or mass"
slider,NOUN,NN,"noun, common, singular or mass"
insists,VERB,VBZ,"verb, present tense, 3rd person singular"
lettering,VERB,VBG,"verb, present participle or gerund"
dads,VERB,VBZ,"verb, present tense, 3rd person singular"
pouring,VERB,VBG,"verb, present participle or gerund"
concentrating,VERB,VBG,"verb, present participle or gerund"
soak,VERB,VB,"verb, base form"
courtroom,NOUN,NN,"noun, common, singular or mass"
hides,VERB,VBZ,"verb, present tense, 3rd person singular"
manure,NOUN,NN,"noun, common, singular or mass"
secrecy,NOUN,NN,"noun, common, singular or mass"
duplicated,VERB,VBD,"verb, past tense"
dreamed,VERB,VBD,"verb, past tense"
relocating,VERB,VBG,"verb, present participle or gerund"
fertile,ADJ,JJ,"adjective or numeral, ordinal"
hinges,NOUN,NNS,"noun, common, plural"
plausible,ADJ,JJ,"adjective or numeral, ordinal"
creepy,ADJ,JJ,"adjective or numeral, ordinal"
filthy,ADJ,JJ,"adjective or numeral, ordinal"
narrator,NOUN,NN,"noun, common, singular or mass"
augustus,NOUN,NN,"noun, common, singular or mass"
hillside,NOUN,NN,"noun, common, singular or mass"
standpoint,NOUN,NN,"noun, common, singular or mass"
laundering,VERB,VBG,"verb, present participle or gerund"
nationalist,ADJ,JJ,"adjective or numeral, ordinal"
piazza,NOUN,NN,"noun, common, singular or mass"
denoted,VERB,VBD,"verb, past tense"
nazis,NOUN,NNS,"noun, common, plural"
oneself,PRON,PRP,"pronoun, personal"
royalties,NOUN,NNS,"noun, common, plural"
piles,NOUN,NNS,"noun, common, plural"
abbreviation,NOUN,NN,"noun, common, singular or mass"
critiques,NOUN,NNS,"noun, common, plural"
stroll,NOUN,NN,"noun, common, singular or mass"
anomaly,NOUN,NN,"noun, common, singular or mass"
thighs,NOUN,NNS,"noun, common, plural"
boa,NOUN,NN,"noun, common, singular or mass"
expressive,ADJ,JJ,"adjective or numeral, ordinal"
infect,VERB,VB,"verb, base form"
dotted,VERB,VBN,"verb, past participle"
frontal,ADJ,JJ,"adjective or numeral, ordinal"
havoc,NOUN,NN,"noun, common, singular or mass"
arsenic,ADJ,JJ,"adjective or numeral, ordinal"
synonym,NOUN,NN,"noun, common, singular or mass"
facilitation,NOUN,NN,"noun, common, singular or mass"
doomed,VERB,VBN,"verb, past participle"
francs,NOUN,NNS,"noun, common, plural"
ballad,ADJ,JJ,"adjective or numeral, ordinal"
sling,VERB,VBG,"verb, present participle or gerund"
contraction,NOUN,NN,"noun, common, singular or mass"
devised,VERB,VBN,"verb, past participle"
explorers,NOUN,NNS,"noun, common, plural"
undercover,ADJ,JJ,"adjective or numeral, ordinal"
substrates,NOUN,NNS,"noun, common, plural"
joystick,NOUN,NN,"noun, common, singular or mass"
ravens,NOUN,NNS,"noun, common, plural"
underline,ADJ,JJ,"adjective or numeral, ordinal"
obscene,ADJ,JJ,"adjective or numeral, ordinal"
hymn,NOUN,NN,"noun, common, singular or mass"
continual,ADJ,JJ,"adjective or numeral, ordinal"
nuclei,NOUN,NNS,"noun, common, plural"
tummy,ADJ,JJ,"adjective or numeral, ordinal"
axial,NOUN,NN,"noun, common, singular or mass"
slowed,VERB,VBD,"verb, past tense"
aladdin,VERB,VBG,"verb, present participle or gerund"
tolerated,VERB,VBN,"verb, past participle"
quay,X,FW,foreign word
outing,NOUN,NN,"noun, common, singular or mass"
instruct,VERB,VB,"verb, base form"
topographic,ADJ,JJ,"adjective or numeral, ordinal"
overhaul,NOUN,NN,"noun, common, singular or mass"
peruvian,ADJ,JJ,"adjective or numeral, ordinal"
indemnity,NOUN,NN,"noun, common, singular or mass"
imaginative,ADJ,JJ,"adjective or numeral, ordinal"
weir,VERB,VB,"verb, base form"
burgers,NOUN,NNS,"noun, common, plural"
remarked,VERB,VBD,"verb, past tense"
portrayed,VERB,VBN,"verb, past participle"
campers,NOUN,NNS,"noun, common, plural"
phenotype,ADJ,JJ,"adjective or numeral, ordinal"
countrywide,NOUN,NN,"noun, common, singular or mass"
affirm,ADJ,JJ,"adjective or numeral, ordinal"
spelled,VERB,VBN,"verb, past participle"
epoch,NOUN,NN,"noun, common, singular or mass"
mourning,VERB,VBG,"verb, present participle or gerund"
resistor,NOUN,NN,"noun, common, singular or mass"
aft,VERB,VBP,"verb, present tense, not 3rd person singular"
plaid,VERB,VBD,"verb, past tense"
fable,ADJ,JJ,"adjective or numeral, ordinal"
rescued,VERB,VBN,"verb, past participle"
exploded,VERB,VBD,"verb, past tense"
padres,NOUN,NNS,"noun, common, plural"
scars,NOUN,NNS,"noun, common, plural"
whisky,NOUN,NN,"noun, common, singular or mass"
uptown,VERB,VBN,"verb, past participle"
batter,NOUN,NN,"noun, common, singular or mass"
weighting,VERB,VBG,"verb, present participle or gerund"
rectal,ADJ,JJ,"adjective or numeral, ordinal"
nuggets,NOUN,NNS,"noun, common, plural"
silently,ADV,RB,adverb
shakes,VERB,VBZ,"verb, present tense, 3rd person singular"
dram,NOUN,NN,"noun, common, singular or mass"
impartial,ADJ,JJ,"adjective or numeral, ordinal"
punctuation,NOUN,NN,"noun, common, singular or mass"
initials,NOUN,NNS,"noun, common, plural"
spans,NOUN,NNS,"noun, common, plural"
pallet,NOUN,NN,"noun, common, singular or mass"
pistols,NOUN,NNS,"noun, common, plural"
mara,NOUN,NN,"noun, common, singular or mass"
garages,NOUN,NNS,"noun, common, plural"
tanner,NOUN,NN,"noun, common, singular or mass"
avenues,NOUN,NNS,"noun, common, plural"
dun,NOUN,NN,"noun, common, singular or mass"
aforementioned,VERB,VBD,"verb, past tense"
tackling,VERB,VBG,"verb, present participle or gerund"
obese,NOUN,NN,"noun, common, singular or mass"
compress,VERB,VB,"verb, base form"
apostles,NOUN,NNS,"noun, common, plural"
sober,ADJ,JJ,"adjective or numeral, ordinal"
collaborations,NOUN,NNS,"noun, common, plural"
tread,NOUN,NN,"noun, common, singular or mass"
legitimacy,NOUN,NN,"noun, common, singular or mass"
zoology,NOUN,NN,"noun, common, singular or mass"
steals,VERB,VBZ,"verb, present tense, 3rd person singular"
unwilling,ADJ,JJ,"adjective or numeral, ordinal"
isolates,NOUN,NNS,"noun, common, plural"
worksheets,NOUN,NNS,"noun, common, plural"
paddy,NOUN,NN,"noun, common, singular or mass"
huskies,NOUN,NNS,"noun, common, plural"
plunge,NOUN,NN,"noun, common, singular or mass"
